"","iteration","n","type","err"
"529",36,1000,"ols_global",0.0581654672357929
"530",36,1000,"Huber_global",0.0219941646500304
"531",36,1000,"Huber_distr_dc",0.0233788364552706
"532",36,2500,"ols_global",0.0611870567066604
"533",36,2500,"Huber_global",0.0212536912350191
"534",36,2500,"Huber_distr_dc",0.0213161366777714
"535",36,5000,"ols_global",0.0563903847015134
"536",36,5000,"Huber_global",0.0262886102584433
"537",36,5000,"Huber_distr_dc",0.0262733592397441
"538",36,10000,"ols_global",0.0563774166969641
"539",36,10000,"Huber_global",0.0227248317094595
"540",36,10000,"Huber_distr_dc",0.022682129787358
"541",37,500,"ols_global",0.0548104305908068
"542",37,500,"Huber_global",0.0256025879455505
"543",37,500,"Huber_distr_dc",0.0632502080449041
"544",37,1000,"ols_global",0.0584849294693943
"545",37,1000,"Huber_global",0.0220366471587588
"546",37,1000,"Huber_distr_dc",0.0223830848818618
"547",37,2500,"ols_global",0.0565907696350671
"548",37,2500,"Huber_global",0.0196587821971138
"549",37,2500,"Huber_distr_dc",0.0198093819834219
"550",37,5000,"ols_global",0.0680054733258773
"551",37,5000,"Huber_global",0.0269872743205036
"552",37,5000,"Huber_distr_dc",0.0271493120258185
"553",37,10000,"ols_global",0.0546007388865699
"554",37,10000,"Huber_global",0.0249258021664943
"555",37,10000,"Huber_distr_dc",0.0249132330893763
"556",38,500,"ols_global",0.0530878267326174
"557",38,500,"Huber_global",0.0243262916430304
"558",38,500,"Huber_distr_dc",0.0498704372632406
"559",38,1000,"ols_global",0.0567946254464946
"560",38,1000,"Huber_global",0.0239453067413363
"561",38,1000,"Huber_distr_dc",0.0257194332985017
"562",38,2500,"ols_global",0.0707799739712289
"563",38,2500,"Huber_global",0.0264248793976951
