"","iteration","proportion","scale","type","err"
"496",10,0.02,1,"ols_global",0.26216477856002
"497",10,0.02,1,"Huber_global",0.0334953811967254
"498",10,0.02,1,"Huber_distr_dc",0.0333388826984787
"499",10,0.02,10,"ols_global",0.369037400114647
"500",10,0.02,10,"Huber_global",0.0393545388265084
"501",10,0.02,10,"Huber_distr_dc",0.0398843795993721
"502",10,0.02,100,"ols_global",2.03793261768095
"503",10,0.02,100,"Huber_global",0.0449009041883504
"504",10,0.02,100,"Huber_distr_dc",0.0447449385879045
"505",10,0.04,1,"ols_global",0.211042957563482
"506",10,0.04,1,"Huber_global",0.0595684717022114
"507",10,0.04,1,"Huber_distr_dc",0.058916606042488
"508",10,0.04,10,"ols_global",0.452664808561012
"509",10,0.04,10,"Huber_global",0.0669687530158193
"510",10,0.04,10,"Huber_distr_dc",0.0662839104889733
"511",10,0.04,100,"ols_global",4.05678502333312
"512",10,0.04,100,"Huber_global",0.0707498696963315
"513",10,0.04,100,"Huber_distr_dc",0.0708469466617322
